Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
891	1.	58.24 - 58.30	Conflicts of interest. 1. If any member, officer or employee of the authority shall have an interest, either direct or indirect, in any contract to which the authority is, or is to be, a party, such interest shall be disclosed to the authority in writing and shall be set forth in the minutes of the authority. The member, officer or employee having such interest shall not participate in any action by the authority with respect to such contract. 	conflicts, of, interest, 1, if, any, member, officer, or, employee, of, the, authority, shall, have, an, interest, either, direct, or, indirect, in, any, contract, to, which, the, authority, is, or, is, to, be, a, party, such, interest, shall, be, disclosed, to, the, authority, in, writing, and, shall, be, set, forth, in, the, minutes, of, the, authority, the, member, officer, or, employee, having, such, interest, shall, not, participate, in, any, action, by, the, authority, with, respect, to, such, contract	conflicts, interest, member, officer, employee, authority, direct, indirect, contract, disclosed, writing, forth, minutes, participate, action, respect	(§8.) TITLE 36 § 2799-qqqqq.1.	16
892	2.	58.31 - 58.38	No member, officer or employee shall be deemed to have such an interest solely by reason of the ownership of two percent or less of the securities of a corporation which is, or is to be, a party to a contract with the authority, including without limitation the holding company of any banking institution in which the funds of the authority are, or are to be, deposited or which is, or is to be, acting as trustee or paying agent under any bond or note resolution, trust indenture or similar instrument to which the authority is a party. 	no, member, officer, or, employee, shall, be, deemed, to, have, such, an, interest, solely, by, reason, of, the, ownership, of, two, percent, or, less, of, the, securities, of, a, corporation, which, is, or, is, to, be, a, party, to, a, contract, with, the, authority, including, without, limitation, the, holding, company, of, any, banking, institution, in, which, the, funds, of, the, authority, are, or, are, to, be, deposited, or, which, is, or, is, to, be, acting, as, trustee, or, paying, agent, under, any, bond, or, note, resolution, trust, indenture, or, similar, instrument, to, which, the, authority, is, a, party	member, officer, employee, deemed, interest, solely, reason, ownership, securities, corporation, contract, authority, limitation, holding, company, banking, institution, funds, deposited, acting, trustee, paying, agent, bond, note, resolution, trust, indenture, instrument	(§8.) TITLE 36 § 2799-qqqqq.2.	29
893	3.	58.39 - 58.41	Nothing in this section shall be deemed or construed to limit the right of any board member, officer or employee of the authority to acquire an interest in bonds or notes of the authority. 	nothing, in, this, section, shall, be, deemed, or, construed, to, limit, the, right, of, any, board, member, officer, or, employee, of, the, authority, to, acquire, an, interest, in, bonds, or, notes, of, the, authority	nothing, deemed, construed, limit, board, member, officer, employee, authority, acquire, interest, bonds, notes	(§8.) TITLE 36 § 2799-qqqqq.3.	13
894	1.	58.42 - 58.48	Exculpation. 1. The trustees and officers of the authority, while acting within the scope of their authority as trustees or officers, shall not be subject to any personal or civil liability resulting from the exercise, carrying out or advocacy of any of the authority's purposes or powers, unless the conduct of the trustees or officers is finally determined by a court of competent jurisdiction to constitute intentional wrongdoing. 	exculpation, 1, the, trustees, and, officers, of, the, authority, while, acting, within, the, scope, of, their, authority, as, trustees, or, officers, shall, not, be, subject, to, any, personal, or, civil, liability, resulting, from, the, exercise, carrying, out, or, advocacy, of, any, of, the, authority's, purposes, or, powers, unless, the, conduct, of, the, trustees, or, officers, is, finally, determined, by, a, court, of, competent, jurisdiction, to, constitute, intentional, wrongdoing	exculpation, trustees, officers, authority, acting, scope, subject, personal, civil, liability, resulting, exercise, carrying, advocacy, authority's, purposes, powers, unless, conduct, finally, determined, court, competent, jurisdiction, constitute, intentional, wrongdoing	(§8.) TITLE 36 § 2799-rrrrr.1.	27
895	2.	58.49 - 58.54	The provisions of section seventeen of the public officers law shall apply to trustees and officers of the authority, in connection with any and all claims, demands, suits, actions or proceedings which may be made or brought against any of them arising out of any determinations made or actions taken or omitted to be taken in compliance with any obligations under or pursuant to the terms of this title. 	the, provisions, of, section, seventeen, of, the, public, officers, law, shall, apply, to, trustees, and, officers, of, the, authority, in, connection, with, any, and, all, claims, demands, suits, actions, or, proceedings, which, may, be, made, or, brought, against, any, of, them, arising, out, of, any, determinations, made, or, actions, taken, or, omitted, to, be, taken, in, compliance, with, any, obligations, under, or, pursuant, to, the, terms, of, this, title	provisions, public, officers, law, apply, trustees, authority, connection, claims, demands, suits, actions, proceedings, may, brought, arising, determinations, omitted, compliance, obligations, pursuant, terms, title	(§8.) TITLE 36 § 2799-rrrrr.2.	23
896	3.	58.55 - 59.8	Notwithstanding any other provisions of law to the contrary, the provisions of section eighteen of the public officers law shall apply to the employees of the authority, in connection with any and all claims, demands, suits, actions or proceedings which may be brought against any of them arising out of any determinations made or actions taken or omitted to be taken in compliance with any obligations under or pursuant to the terms of this title. Whenever the provisions of section seventeen of the public officers law do not apply to the board trustees and officers of the authority, the provisions of section eighteen of the public officers law shall apply to such board trustees and officers. 	notwithstanding, any, other, provisions, of, law, to, the, contrary, the, provisions, of, section, eighteen, of, the, public, officers, law, shall, apply, to, the, employees, of, the, authority, in, connection, with, any, and, all, claims, demands, suits, actions, or, proceedings, which, may, be, brought, against, any, of, them, arising, out, of, any, determinations, made, or, actions, taken, or, omitted, to, be, taken, in, compliance, with, any, obligations, under, or, pursuant, to, the, terms, of, this, title, whenever, the, provisions, of, section, seventeen, of, the, public, officers, law, do, not, apply, to, the, board, trustees, and, officers, of, the, authority, the, provisions, of, section, eighteen, of, the, public, officers, law, shall, apply, to, such, board, trustees, and, officers	notwithstanding, provisions, law, contrary, public, officers, apply, employees, authority, connection, claims, demands, suits, actions, proceedings, may, brought, arising, determinations, omitted, compliance, obligations, pursuant, terms, title, whenever, board, trustees	(§8.) TITLE 36 § 2799-rrrrr.3.	28
897	4.	59.9 - 59.19	Any costs incurred by the state in accordance with subdivision two of this section shall be treated as advances by the state to the authority, and shall be repaid to it without interest either out of the proceeds of bonds issued by the authority pursuant to the provisions of this title, or by the delivery of non-interest bearing bonds of the authority to the state for all or any part of such advances, or out of excess revenues of the authority, at such times and on such conditions as the state and the authority mutually may agree upon. Any agreement entered into by the state and the authority for the repayment of any costs incurred pursuant to subdivision two of this section, shall be subject to the approval of the public authorities control board. 	any, costs, incurred, by, the, state, in, accordance, with, subdivision, two, of, this, section, shall, be, treated, as, advances, by, the, state, to, the, authority, and, shall, be, repaid, to, it, without, interest, either, out, of, the, proceeds, of, bonds, issued, by, the, authority, pursuant, to, the, provisions, of, this, title, or, by, the, delivery, of, non, interest, bearing, bonds, of, the, authority, to, the, state, for, all, or, any, part, of, such, advances, or, out, of, excess, revenues, of, the, authority, at, such, times, and, on, such, conditions, as, the, state, and, the, authority, mutually, may, agree, upon, any, agreement, entered, into, by, the, state, and, the, authority, for, the, repayment, of, any, costs, incurred, pursuant, to, subdivision, two, of, this, section, shall, be, subject, to, the, approval, of, the, public, authorities, control, board	costs, incurred, state, accordance, subdivision, treated, advances, authority, repaid, interest, proceeds, bonds, issued, pursuant, provisions, title, delivery, bearing, excess, revenues, conditions, mutually, may, agree, agreement, entered, repayment, subject, approval, public, authorities, control, board	(§8.) TITLE 36 § 2799-rrrrr.4.	33
898	5.	59.20 - 59.22	"As used in this section, the terms ""trustee"", ""officer"" and ""employee"" shall include a former trustee, officer or employee and his or her estate or judicially appointed personal representative. "	as, used, in, this, section, the, terms, trustee, officer, and, employee, shall, include, a, former, trustee, officer, or, employee, and, his, or, her, estate, or, judicially, appointed, personal, representative	terms, trustee, officer, employee, former, estate, judicially, appointed, personal, representative	(§8.) TITLE 36 § 2799-rrrrr.5.	10
899	§ 2799-sssss.	59.23 - 59.25	Liberal interpretation. This title, being necessary for the prosperity of the state and its inhabitants, shall be liberally construed to affect the purposes of such title. 	liberal, interpretation, this, title, being, necessary, for, the, prosperity, of, the, state, and, its, inhabitants, shall, be, liberally, construed, to, affect, the, purposes, of, such, title	liberal, interpretation, title, necessary, prosperity, state, inhabitants, liberally, construed, affect, purposes	(§8.) TITLE 36 § 2799-sssss.	11
900	§ 2799-ttttt.	59.26 - 59.34	Severability. The provisions of this title shall be severable, and if any part or provision of this title, or the application thereof to any person or circumstance, shall be adjudged by any court of competent jurisdiction to be invalid or unenforceable, such judgment shall not affect, impair or invalidate the remainder of this title or the application of such provision to any other person or circumstance, but shall be confined in its operation to the provision, person or circumstance directly involved in the controversy in which such judgment shall have been rendered. 	severability, the, provisions, of, this, title, shall, be, severable, and, if, any, part, or, provision, of, this, title, or, the, application, thereof, to, any, person, or, circumstance, shall, be, adjudged, by, any, court, of, competent, jurisdiction, to, be, invalid, or, unenforceable, such, judgment, shall, not, affect, impair, or, invalidate, the, remainder, of, this, title, or, the, application, of, such, provision, to, any, other, person, or, circumstance, but, shall, be, confined, in, its, operation, to, the, provision, person, or, circumstance, directly, involved, in, the, controversy, in, which, such, judgment, shall, have, been, rendered	severability, provisions, title, severable, provision, application, thereof, circumstance, adjudged, court, competent, jurisdiction, invalid, unenforceable, judgment, affect, impair, invalidate, remainder, confined, operation, directly, involved, controversy, rendered	(§8.) TITLE 36 § 2799-ttttt.	25
901	§ 2799-uuuuu.	59.35 - 59.38	Inconsistent provisions of other laws superseded. Insofar as the provisions of this title are inconsistent with the provisions of any other law or any part thereof, the provisions of this title shall be controlling. 	inconsistent, provisions, of, other, laws, superseded, insofar, as, the, provisions, of, this, title, are, inconsistent, with, the, provisions, of, any, other, law, or, any, part, thereof, the, provisions, of, this, title, shall, be, controlling	inconsistent, provisions, laws, superseded, insofar, title, law, thereof, controlling	(§8.) TITLE 36 § 2799-uuuuu.	9
902	§ 2799-vvvvv.	59.39 - 59.44	Title not affected if in part unconstitutional. If any section, clause or provision of this title shall be unconstitutional or be ineffective in whole or in part, to the extent that it is not unconstitutional or ineffective, it shall be valid and effective and no other section, clause or provision shall on account thereof be deemed invalid or ineffective. 	title, not, affected, if, in, part, unconstitutional, if, any, section, clause, or, provision, of, this, title, shall, be, unconstitutional, or, be, ineffective, in, whole, or, in, part, to, the, extent, that, it, is, not, unconstitutional, or, ineffective, it, shall, be, valid, and, effective, and, no, other, section, clause, or, provision, shall, on, account, thereof, be, deemed, invalid, or, ineffective	title, affected, unconstitutional, clause, provision, ineffective, extent, valid, effective, account, thereof, deemed, invalid	(§8.) TITLE 36 § 2799-vvvvv.	13
903	1.	59.45 - 59.47	"Climate manufacturing career policy. 1. Application. The authority shall develop a ""climate manufacturing careers policy"" for all projects exceeding five million dollars. "	climate, manufacturing, career, policy, 1, application, the, authority, shall, develop, a, climate, manufacturing, careers, policy, for, all, projects, exceeding, five, million, dollars	climate, manufacturing, career, policy, application, authority, develop, careers, projects, exceeding, million, dollars	(§8.) TITLE 36 § 2799-wwwww.1.	12
904	2.	59.48 - 60.2	The climate manufacturing careers policy shall require that all eligible lead applicants, eligible sub-applicants and labor organizations participating in the program and applying for grants or loans administered by the authority have the option to submit proposals that utilize the U.S. employment plan, as defined by article eight-B of the labor law, or shall use the local employment plan best-value scoring criteria as outlined in article eight-B of the labor law to: (a) create high-quality jobs and training programs for United States and New York state residents; (b) invest in new or existing manufacturing facilities; and (c) generate employment opportunities for disadvantaged workers and disadvantaged communities as determined by the authority. 	the, climate, manufacturing, careers, policy, shall, require, that, all, eligible, lead, applicants, eligible, sub, applicants, and, labor, organizations, participating, in, the, program, and, applying, for, grants, or, loans, administered, by, the, authority, have, the, option, to, submit, proposals, that, utilize, the, u.s, employment, plan, as, defined, by, article, eight, b, of, the, labor, law, or, shall, use, the, local, employment, plan, best, value, scoring, criteria, as, outlined, in, article, eight, b, of, the, labor, law, to, a, create, high, quality, jobs, and, training, programs, for, united, states, and, new, york, state, residents, b, invest, in, new, or, existing, manufacturing, facilities, and, c, generate, employment, opportunities, for, disadvantaged, workers, and, disadvantaged, communities, as, determined, by, the, authority	climate, manufacturing, careers, policy, require, eligible, lead, applicants, sub, labor, organizations, participating, program, applying, grants, loans, administered, authority, option, submit, proposals, utilize, u.s, employment, plan, defined, article, law, local, value, scoring, criteria, outlined, quality, jobs, training, programs, united, states, new, york, state, residents, invest, existing, facilities, generate, opportunities, disadvantaged, workers, communities, determined	(§8.) TITLE 36 § 2799-wwwww.2.	52
905	3.	60.3 - 60.13	Procedure. The climate manufacturing careers policy shall include a procedure under which the authority's procurement office shall administer the review of the proposers' bid for the U.S. employment plan and/or local employment plan, as defined by article eight-B of the labor law, worksheet commitments and narrative. The procurement office shall score such commitments to determine awarding of the funds, grants or loans. The procurement office shall also review subsequent quarterly and annual reports submitted by the eligible lead applicants, eligible sub-applicants and labor organizations to show fulfillment of the commitments made in such U.S. employment plan and/or local employment plan worksheets and narrative. 	procedure, the, climate, manufacturing, careers, policy, shall, include, a, procedure, under, which, the, authority's, procurement, office, shall, administer, the, review, of, the, proposers, bid, for, the, u.s, employment, plan, and, or, local, employment, plan, as, defined, by, article, eight, b, of, the, labor, law, worksheet, commitments, and, narrative, the, procurement, office, shall, score, such, commitments, to, determine, awarding, of, the, funds, grants, or, loans, the, procurement, office, shall, also, review, subsequent, quarterly, and, annual, reports, submitted, by, the, eligible, lead, applicants, eligible, sub, applicants, and, labor, organizations, to, show, fulfillment, of, the, commitments, made, in, such, u.s, employment, plan, and, or, local, employment, plan, worksheets, and, narrative	procedure, climate, manufacturing, careers, policy, authority's, procurement, office, administer, review, proposers, bid, u.s, employment, plan, local, defined, article, labor, law, worksheet, commitments, narrative, score, determine, awarding, funds, grants, loans, subsequent, quarterly, annual, reports, submitted, eligible, lead, applicants, sub, organizations, fulfillment, worksheets	(§8.) TITLE 36 § 2799-wwwww.3.	41
906	4.	60.14 - 60.20	Proposers shall include subcontractor and supplier participation to increase the U.S. jobs impact of the project. The climate manufacturing careers policy shall detail a system for awarding U.S. employment plan and/or local employment plan, as defined by article eight-B of the labor law, commitment credit to proposers. Proposers shall receive such U.S. employment plan commitment credit for subcontractors/suppliers with facilities in the United States. 	proposers, shall, include, subcontractor, and, supplier, participation, to, increase, the, u.s, jobs, impact, of, the, project, the, climate, manufacturing, careers, policy, shall, detail, a, system, for, awarding, u.s, employment, plan, and, or, local, employment, plan, as, defined, by, article, eight, b, of, the, labor, law, commitment, credit, to, proposers, proposers, shall, receive, such, u.s, employment, plan, commitment, credit, for, subcontractors, suppliers, with, facilities, in, the, united, states	proposers, subcontractor, supplier, participation, increase, u.s, jobs, impact, project, climate, manufacturing, careers, policy, detail, system, awarding, employment, plan, local, defined, article, labor, law, commitment, credit, subcontractors, suppliers, facilities, united, states	(§8.) TITLE 36 § 2799-wwwww.4.	30
907	5.	60.21 - 60.26	The climate manufacturing careers policy shall include transparency, compliance, and enforcement procedures that, at a minimum, meet the requirements of article eight-B of the labor law. The authority will maintain a web page for each agreement that includes final contracts and U.S. employment plan and/or local employment plan, as defined by article eight-B of the labor law, compliance submissions. 	the, climate, manufacturing, careers, policy, shall, include, transparency, compliance, and, enforcement, procedures, that, at, a, minimum, meet, the, requirements, of, article, eight, b, of, the, labor, law, the, authority, will, maintain, a, web, page, for, each, agreement, that, includes, final, contracts, and, u.s, employment, plan, and, or, local, employment, plan, as, defined, by, article, eight, b, of, the, labor, law, compliance, submissions	climate, manufacturing, careers, policy, transparency, compliance, enforcement, procedures, minimum, requirements, article, labor, law, authority, maintain, agreement, final, contracts, u.s, employment, plan, local, defined, submissions	(§8.) TITLE 36 § 2799-wwwww.5.	24
908	1.	60.27 - 60.37	Additional responsible contracting standards. 1. In order to ensure the best quality work and value for New York state and its constituent communities, to the degree allowed by law a party which receives assistance from the state for the increase of energy efficiency, electrification upgrades, the development of renewable energies, climate change resiliency, or other investments by the authority over one million dollars or receiving more than de minimis support where the overall project investment is over five million dollars shall take the necessary contractual actions to ensure that a project labor agreement or community benefits agreement is executed between the entity responsible for the assisted project and an appropriate third party. 	additional, responsible, contracting, standards, 1, in, order, to, ensure, the, best, quality, work, and, value, for, new, york, state, and, its, constituent, communities, to, the, degree, allowed, by, law, a, party, which, receives, assistance, from, the, state, for, the, increase, of, energy, efficiency, electrification, upgrades, the, development, of, renewable, energies, climate, change, resiliency, or, other, investments, by, the, authority, over, one, million, dollars, or, receiving, more, than, de, minimis, support, where, the, overall, project, investment, is, over, five, million, dollars, shall, take, the, necessary, contractual, actions, to, ensure, that, a, project, labor, agreement, or, community, benefits, agreement, is, executed, between, the, entity, responsible, for, the, assisted, project, and, an, appropriate, third, party	responsible, contracting, standards, order, ensure, quality, work, value, new, york, state, constituent, communities, degree, allowed, law, receives, assistance, increase, energy, efficiency, electrification, upgrades, development, renewable, energies, climate, resiliency, investments, authority, million, dollars, receiving, minimis, support, overall, project, investment, necessary, contractual, actions, labor, agreement, community, benefits, executed, entity, assisted, appropriate	(§8.) TITLE 36 § 2799-xxxxx.1.	49
909	2.	60.38 - 60.41	Recommendations and minimum standards for qualifying agreements related to non-construction work shall be published by the authority annually, and no community benefits agreement under this section shall meet the requirements of this section without meeting such standards. 	recommendations, and, minimum, standards, for, qualifying, agreements, related, to, non, construction, work, shall, be, published, by, the, authority, annually, and, no, community, benefits, agreement, under, this, section, shall, meet, the, requirements, of, this, section, without, meeting, such, standards	recommendations, minimum, standards, qualifying, agreements, related, construction, work, published, authority, annually, community, benefits, agreement, requirements, meeting	(§8.) TITLE 36 § 2799-xxxxx.2.	16
910	3.	60.42 - 60.48	Penalties and sanctions. The failure of a party receiving assistance under this title to ensure compliance with the requirements of subdivision four of this section shall constitute a material breach of the agreement under which assistance is provided and shall permit the state to impose applicable penalties and sanctions for conduct constituting non-compliance, including but not limited to revocation of all or part of the assistance provided by the state. 	penalties, and, sanctions, the, failure, of, a, party, receiving, assistance, under, this, title, to, ensure, compliance, with, the, requirements, of, subdivision, four, of, this, section, shall, constitute, a, material, breach, of, the, agreement, under, which, assistance, is, provided, and, shall, permit, the, state, to, impose, applicable, penalties, and, sanctions, for, conduct, constituting, non, compliance, including, but, not, limited, to, revocation, of, all, or, part, of, the, assistance, provided, by, the, state	penalties, sanctions, failure, receiving, assistance, title, ensure, compliance, requirements, subdivision, constitute, material, breach, agreement, permit, state, impose, applicable, conduct, constituting, limited, revocation	(§8.) TITLE 36 § 2799-xxxxx.3.	22
911	4.	60.49 - 60.54	Responsible contractor requirements. The party which receives assistance from the state for a renewable energy project, energy efficiency project, other construction project shall take the necessary contractual actions to ensure each contractor and subcontractor involved in the operation construction of the assisted project completes a sworn certification that the firm: 	responsible, contractor, requirements, the, party, which, receives, assistance, from, the, state, for, a, renewable, energy, project, energy, efficiency, project, other, construction, project, shall, take, the, necessary, contractual, actions, to, ensure, each, contractor, and, subcontractor, involved, in, the, operation, construction, of, the, assisted, project, completes, a, sworn, certification, that, the, firm	responsible, contractor, requirements, receives, assistance, state, renewable, energy, project, efficiency, construction, necessary, contractual, actions, ensure, subcontractor, involved, operation, assisted, completes, sworn, certification, firm	(§8.) TITLE 36 § 2799-xxxxx.4.	23
912	(a)	61.1 - 61.3	has the necessary resources to perform the portion of the assisted project to which they are assigned, including the necessary technical, financial, and personnel resources; 	has, the, necessary, resources, to, perform, the, portion, of, the, assisted, project, to, which, they, are, assigned, including, the, necessary, technical, financial, and, personnel, resources	necessary, resources, perform, portion, assisted, project, assigned, technical, financial, personnel	(§8.) TITLE 36 § 2799-xxxxx.4.(a)	10
913	(b)	61.4 - 61.5	has all required licenses, certifications or certificates required of any business entity or individual by applicable state or local law; 	has, all, required, licenses, certifications, or, certificates, required, of, any, business, entity, or, individual, by, applicable, state, or, local, law	required, licenses, certifications, certificates, business, entity, individual, applicable, state, local, law	(§8.) TITLE 36 § 2799-xxxxx.4.(b)	11
914	(c)	61.6 - 61.6	that in the past three years, the firm: 	that, in, the, past, three, years, the, firm	years, firm	(§8.) TITLE 36 § 2799-xxxxx.4.(c)	2
915	(i)	61.7 - 61.7	has not been debarred by any government agency; 	has, not, been, debarred, by, any, government, agency	debarred, government, agency	(§8.) TITLE 36 § 2799-xxxxx.4.(c)(i)	3
916	(ii)	61.8 - 61.8	has not defaulted on any project; 	has, not, defaulted, on, any, project	defaulted, project	(§8.) TITLE 36 § 2799-xxxxx.4.(c)(ii)	2
917	(iii)	61.9 - 61.10	has not had any license, certification or other credential relating to the business revoked or suspended; and 	has, not, had, any, license, certification, or, other, credential, relating, to, the, business, revoked, or, suspended, and	license, certification, credential, relating, business, revoked, suspended	(§8.) TITLE 36 § 2799-xxxxx.4.(c)(iii)	7
918	(iv)	61.11 - 61.17	has not been found in violation of any law applicable to its business that resulted in the payment of a fine, back pay damages, or any other type of penalty in the amount of ten thousand dollars or more; shall pay craft personnel employed on the project, at a minimum, the applicable wage and fringe benefit rates for the classification in which the worker is employed in accordance with applicable required rates for the project; and 	has, not, been, found, in, violation, of, any, law, applicable, to, its, business, that, resulted, in, the, payment, of, a, fine, back, pay, damages, or, any, other, type, of, penalty, in, the, amount, of, ten, thousand, dollars, or, more, shall, pay, craft, personnel, employed, on, the, project, at, a, minimum, the, applicable, wage, and, fringe, benefit, rates, for, the, classification, in, which, the, worker, is, employed, in, accordance, with, applicable, required, rates, for, the, project, and	violation, law, applicable, business, resulted, payment, fine, damages, type, penalty, amount, thousand, dollars, craft, personnel, employed, project, minimum, wage, fringe, benefit, rates, classification, worker, accordance, required	(§8.) TITLE 36 § 2799-xxxxx.4.(c)(iv)	26
919	(c)	61.18 - 61.19	the firm shall not misclassify employees as independent contractors. 	the, firm, shall, not, misclassify, employees, as, independent, contractors	firm, misclassify, employees, independent, contractors	(§8.) TITLE 36 § 2799-xxxxx.4.(c)	5
920	§ 9.	61.20 - 61.21	The tax law is amended by adding two new articles 42 and 43 to read as follows: 	the, tax, law, is, amended, by, adding, two, new, articles, 42, and, 43, to, read, as, follows	tax, law, amended, adding, new, articles, follows	§ 9.	7
921	ARTICLE 42	61.22 - 61.23	CLIMATE POLLUTION FEE 	climate, pollution, fee	climate, pollution, fee	(§9.) ARTICLE 42	3
922	Section 3039.	61.24 - 61.24	Definitions. 	definitions	definitions	(§9.) ARTICLE 42 § 3039.	1
923	3040.	61.25 - 61.25	Imposition of carbon pollution fee. 	imposition, of, carbon, pollution, fee	imposition, carbon, pollution, fee	(§9.) ARTICLE 42 § 3040.	4
924	3041.	61.26 - 61.26	Amount of fee. 	amount, of, fee	amount, fee	(§9.) ARTICLE 42 § 3041.	2
925	3042.	61.27 - 61.27	Applicable entities. 	applicable, entities	applicable, entities	(§9.) ARTICLE 42 § 3042.	2
926	3043.	61.28 - 61.28	Calculation of emissions factors. 	calculation, of, emissions, factors	calculation, emissions, factors	(§9.) ARTICLE 42 § 3043.	3
927	3044.	61.29 - 61.29	Exemptions and deductions. 	exemptions, and, deductions	exemptions, deductions	(§9.) ARTICLE 42 § 3044.	2
928	3045.	61.30 - 61.30	Emissions leakage mitigation policy. 	emissions, leakage, mitigation, policy	emissions, leakage, mitigation, policy	(§9.) ARTICLE 42 § 3045.	4
929	3046.	61.31 - 61.31	Creation of funds within the authority. 	creation, of, funds, within, the, authority	creation, funds, authority	(§9.) ARTICLE 42 § 3046.	3
930	3047.	61.32 - 61.32	Reporting. 	reporting	reporting	(§9.) ARTICLE 42 § 3047.	1
931	§ 3039.	61.33 - 61.34	Definitions. For the purposes of this article, the following terms shall have the following meanings: 	definitions, for, the, purposes, of, this, article, the, following, terms, shall, have, the, following, meanings	definitions, purposes, article, terms, meanings	(§9.) ARTICLE 42 § 3039.	5
932	1.	61.35 - 61.36	"""Authority"" shall mean the climate and community investment authority. "	authority, shall, mean, the, climate, and, community, investment, authority	authority, mean, climate, community, investment	(§9.) ARTICLE 42 § 3039.1.	5
933	2.	61.37 - 61.42	"""Border carbon adjustment fee"" means a fee imposed to address emissions leakage that adjusts the price of a good, at the point of the importation into the state of goods that require emissions of greenhouse gases for their production or operation, or export from the state, to reflect the known or estimated greenhouse gas emissions quantities associated with the production of such good. "	border, carbon, adjustment, fee, means, a, fee, imposed, to, address, emissions, leakage, that, adjusts, the, price, of, a, good, at, the, point, of, the, importation, into, the, state, of, goods, that, require, emissions, of, greenhouse, gases, for, their, production, or, operation, or, export, from, the, state, to, reflect, the, known, or, estimated, greenhouse, gas, emissions, quantities, associated, with, the, production, of, such, good	border, carbon, adjustment, fee, imposed, address, emissions, leakage, adjusts, price, point, importation, state, goods, require, greenhouse, gases, production, operation, export, reflect, known, estimated, gas, quantities, associated	(§9.) ARTICLE 42 § 3039.2.	26
934	3.	61.43 - 61.46	"""Carbon-based fuel"" means coal, a petroleum product, natural gas, methane, municipal solid waste (or any other feedstocks used for wasteto-energy conversions), or biomass that may be a source of greenhouse gas emissions through combustion and fugitive emissions. "	carbon, based, fuel, means, coal, a, petroleum, product, natural, gas, methane, municipal, solid, waste, or, any, other, feedstocks, used, for, wasteto, energy, conversions, or, biomass, that, may, be, a, source, of, greenhouse, gas, emissions, through, combustion, and, fugitive, emissions	carbon, fuel, coal, petroleum, product, natural, gas, methane, municipal, solid, waste, feedstocks, wasteto, energy, conversions, biomass, may, source, greenhouse, emissions, combustion, fugitive	(§9.) ARTICLE 42 § 3039.3.	22
935	4.	61.47 - 61.50	"""Carbon dioxide equivalent"" and ""CO2e"" mean the amount of carbon dioxide by mass that would produce the same global warming impact as a given mass of another greenhouse gas over an integrated twenty-year timeframe after emission, based on the best available science. "	carbon, dioxide, equivalent, and, co2e, mean, the, amount, of, carbon, dioxide, by, mass, that, would, produce, the, same, global, warming, impact, as, a, given, mass, of, another, greenhouse, gas, over, an, integrated, twenty, year, timeframe, after, emission, based, on, the, best, available, science	carbon, dioxide, equivalent, co2e, mean, amount, mass, produce, global, warming, impact, greenhouse, gas, integrated, timeframe, emission, available, science	(§9.) ARTICLE 42 § 3039.4.	18
936	5.	61.51 - 61.53	"""Regulated air contaminant"" shall have the same meaning as in subdivision twenty-two of section 19-0107 of the environmental conservation law. "	regulated, air, contaminant, shall, have, the, same, meaning, as, in, subdivision, twenty, two, of, section, 19, 0107, of, the, environmental, conservation, law	regulated, air, contaminant, meaning, subdivision, environmental, conservation, law	(§9.) ARTICLE 42 § 3039.5.	8
937	6.	61.54 - 61.54	"""Commissioner"" means the commissioner of taxation and finance. "	commissioner, means, the, commissioner, of, taxation, and, finance	commissioner, taxation, finance	(§9.) ARTICLE 42 § 3039.6.	3
938	7.	61.55 - 61.56	"""Disadvantaged communities"" shall have the same meaning as in section 75-0111 of the environmental conservation law. "	disadvantaged, communities, shall, have, the, same, meaning, as, in, section, 75, 0111, of, the, environmental, conservation, law	disadvantaged, communities, meaning, environmental, conservation, law	(§9.) ARTICLE 42 § 3039.7.	6
939	8.	62.1 - 62.2	"""Downstate region"" means the counties of Richmond, Kings, Queens, New York, Bronx, Westchester, Nassau and Suffolk. "	downstate, region, means, the, counties, of, richmond, kings, queens, new, york, bronx, westchester, nassau, and, suffolk	downstate, region, counties, richmond, kings, queens, new, york, bronx, westchester, nassau, suffolk	(§9.) ARTICLE 42 § 3039.8.	12
940	9.	62.3 - 62.5	"""Emissions leakage"" means an increase in emissions outside of the state, as a result of, or in correlation with, the implementation of measures within the state to limit such emissions. "	emissions, leakage, means, an, increase, in, emissions, outside, of, the, state, as, a, result, of, or, in, correlation, with, the, implementation, of, measures, within, the, state, to, limit, such, emissions	emissions, leakage, increase, outside, state, correlation, implementation, measures, limit	(§9.) ARTICLE 42 § 3039.9.	9
941	10.	62.6 - 62.9	"""Fugitive emissions"" means those emissions of a greenhouse gas that are released during extraction, transportation of fuel, during processing, and due to leaks during industrial processes or at solid waste and wastewater management sites. "	fugitive, emissions, means, those, emissions, of, a, greenhouse, gas, that, are, released, during, extraction, transportation, of, fuel, during, processing, and, due, to, leaks, during, industrial, processes, or, at, solid, waste, and, wastewater, management, sites	fugitive, emissions, greenhouse, gas, released, extraction, transportation, fuel, processing, leaks, industrial, processes, solid, waste, wastewater, management, sites	(§9.) ARTICLE 42 § 3039.10.	17
